seat,seed,all_outcome
all_p0,42,WIN
all_p0,43,WIN
all_p0,44,WIN
all_p0,45,WIN
all_p0,46,WIN
all_p0,47,WIN
all_p0,48,WIN
all_p0,49,WIN
all_p0,50,WIN
all_p0,51,WIN
all_p0,52,WIN
all_p0,53,WIN
all_p0,54,WIN
all_p0,55,WIN
all_p0,56,WIN
all_p0,57,WIN
all_p0,58,WIN
all_p0,59,WIN
all_p0,60,WIN
all_p0,61,WIN
all_p0,62,WIN
all_p0,63,WIN
all_p0,64,WIN
all_p0,65,WIN
all_p0,66,WIN
all_p0,67,WIN
all_p0,68,WIN
all_p0,69,WIN
all_p0,70,WIN
all_p0,71,WIN
all_p0,72,WIN
all_p0,73,WIN
all_p0,74,WIN
all_p0,75,WIN
all_p0,76,WIN
all_p0,77,WIN
all_p0,78,WIN
all_p0,79,WIN
all_p0,80,WIN
all_p0,81,WIN
all_p1,1042,WIN
all_p1,1043,WIN
all_p1,1044,WIN
all_p1,1045,WIN
all_p1,1046,WIN
all_p1,1047,WIN
all_p1,1048,WIN
all_p1,1049,LOSE
all_p1,1050,WIN
all_p1,1051,WIN
all_p1,1052,WIN
all_p1,1053,WIN
all_p1,1054,WIN
all_p1,1055,WIN
all_p1,1056,WIN
all_p1,1057,WIN
all_p1,1058,WIN
all_p1,1059,WIN
all_p1,1060,WIN
all_p1,1061,WIN
all_p1,1062,WIN
all_p1,1063,WIN
all_p1,1064,WIN
all_p1,1065,WIN
all_p1,1066,WIN
all_p1,1067,WIN
all_p1,1068,WIN
all_p1,1069,WIN
all_p1,1070,WIN
all_p1,1071,WIN
all_p1,1072,WIN
all_p1,1073,LOSE
all_p1,1074,WIN
all_p1,1075,WIN
all_p1,1076,WIN
all_p1,1077,WIN
all_p1,1078,WIN
all_p1,1079,WIN
all_p1,1080,WIN
all_p1,1081,WIN
