seat,public_outcome,seed,p0_reward,p1_reward,winner,steps
public_p0,win,42,1,-1,p0,100
public_p0,win,43,1,-1,p0,169
public_p0,win,44,1,-1,p0,121
public_p0,win,45,1,-1,p0,155
public_p0,win,46,1,-1,p0,118
public_p0,win,47,1,-1,p0,161
public_p0,win,48,1,-1,p0,148
public_p0,win,49,1,-1,p0,124
public_p0,win,50,1,-1,p0,181
public_p0,win,51,1,-1,p0,117
public_p1,win,1042,-1,1,p1,169
public_p1,win,1043,-1,1,p1,141
public_p1,win,1044,-1,1,p1,203
public_p1,win,1045,-1,1,p1,120
public_p1,win,1046,-1,1,p1,176
public_p1,win,1047,-1,1,p1,107
public_p1,win,1048,-1,1,p1,153
public_p1,win,1049,-1,1,p1,120
public_p1,win,1050,-1,1,p1,131
public_p1,win,1051,-1,1,p1,87
